الصنف,الافتتاحي,المتبقي
Xtreme-SuperCol-PISCINAS,536.0,536.0
Amazon Grey 30.5x30.5x3CM,535.8569500000001,535.8569500000001
Larvik Full Lap 60X120,531.36,531.36
P.C. LUMIERE WHITE SAT. 120X280 RECT,527.5200000000001,527.5200000000001
5X5 PENTA CRYSTAL GLACIER,527.24,527.24
31X46 NEBULA DOT,520.71,520.71
Onix Blanco 120x120 PUL,516.96,516.96
Bianco Colorado 30x60,515.1600000000001,515.1600000000001
5x5 Penta Lisboa MOD B,512.5400000000001,512.5400000000001
Bora Edge Stromboli Light 20x50,508.0000000000001,508.0000000000001
TIMELESSWOOD OLIVE RECTIFICADO 20x120,504.0000000000001,504.0000000000001
Penta Forest Blue 5x5,499.8000000000001,499.8000000000001
Portland Taupe Pulido 120x120,498.2400000000001,498.2400000000001
P.C. MAXITECH LINCOLN WHITE SATINADO  120x280,497.52,497.52
P.C. KRETA GREY MT 120X280 RECT,497.28,497.28
Savoy Land IN 90x90,495.72,495.72
"ALUMACER / 0LA12NH - LISTELO ALUMINIO 12x12 mm NEGRO MATE LACADO 2,6 ml",494.0000000000001,494.0000000000001
Dolomitas Grey Matt 60x120,493.92,493.92
P.C. DONCELLA IVORY  RECT.120x280,493.92,493.92
Artech Anthracite 60X120,490.3200000000001,490.3200000000001
5x5 Penta Lisboa MOD A,489.02,489.02
CHOICE WHITE 60x120,479.52,479.52
FIROZA FULL LAP 1 60x120,479.52,479.52
Florencia Perla 120x120,478.08,478.08
LUMIERE NATURAL SAT. 120X280 RECT,477.1200000000001,477.1200000000001
Cream Stone 80x80,471.6800000000001,471.6800000000001
LOTUS COAL NAT RECT 60X120,469.4400000000001,469.4400000000001
P.C. KILIAN WHITE MT 120X280 RECT.,463.6800000000001,463.6800000000001
Window Sill right,461.0000000000001,461.0000000000001
P.C. KRETA GREIGE MT 120X280 RECT,456.96,456.96
Leveling Spacer 1 mm (200PCS/BAG),455.0000000000001,455.0000000000001
Window Sill left,455.0000000000001,455.0000000000001
Balbi Gris Matt 60x120,453.6,453.6
Delbin Iridis Dot 2.5x2.5,452.6900000000001,452.6900000000001
Soft Grey 60.5x60.5  (R),447.984,447.984
CALACATTA SLOW SOFT RECT 60x120,447.84,447.84
Carpet Natural Rect 30x60,446.04,446.04
Tundra Light Stairs 1.30,440.0000000000001,440.0000000000001
Penta Delbin Iridis 5x5,435.1,435.1
Window M Hello.olding left,431.0000000000001,431.0000000000001
Tessino Black Pulido 60x120,430.5600000000001,430.5600000000001
TRAVERTINO BLANCO SILK 60x120,427.68,427.68
SL COPENHAGEN CANELLA 20x120,422.4,422.4
Cross Cut Petra IN 60X120 NP,421.92,421.92
Acron Pearl 60x120 SL,420.48,420.48
Calcatta Gold Matt 60x120,419.04,419.04
Window Molding right,418.0000000000001,418.0000000000001
Germa - Basic Glue لاصق,416.0000000000001,416.0000000000001
Kronos Anthracite flat,415.864,415.864
Cream Stone 120x120,410.4,410.4
CHANTILLY CREME CHIP 30x30,410.1,410.1
Amazon Canela OUT 20x120,406.5600000000001,406.5600000000001
TAJ MAHAL NATURE PL(PRC) 60X120 RC STD,406.08,406.08
Rocky Mountain Coffee Flat,400.0000000000001,400.0000000000001
ALUMACER /LACA12IGM - LISTELO ACERO ARENA 12x12 mm INOX GRIS MARENGO,399.0000000000001,399.0000000000001
Mosaic - Kara Grey 2.5x2.5 ,397.8800000000001,397.8800000000001
P.C. 3DB KYNDAL HAYA MATE 120X280,396.48,396.48
GRAVEL SHADOW 60x60,393.12,393.12
Bodo Grey Mat Slipstop 60x60x2,392.6300000000001,392.6300000000001
Acron Pearl 120x120 SL,390.24,390.24
P.C. ULISSE PEARL MT 120X280 RECT.,386.4,386.4
Onice Cobalto Face B 160x320 6mm,384.0000000000001,384.0000000000001
Picasso Mermer 60x60,382.3200000000001,382.3200000000001
Penta Bali Stone 5x5,382.18,382.18
Onice Cobalto Face A 160x320 6mm,378.8800000000001,378.8800000000001
Classic Travertine Edge 15x30.5,373.0000000000001,373.0000000000001
"Bony Perla Full Lap 60X120X0,7",371.52,371.52
Mosaic - Quartz PVC 1,367.43,367.43
Neutra Cream Mate 60×120 Sl Rc,367.2,367.2
Kronos Ash Flat,365.765,365.765
Bellezza Full Lap 60X120,365.04,365.04
"Alumacer/ 0LA12PBLISTELO ALUMINIO 12x12 mm PLATA MATTE 2,6 ml",365.0000000000001,365.0000000000001
60 X 60 X 2 SG WORK CEMENTO EXP.,364.3200000000001,364.3200000000001
SL TROPIC CEREZO 20x120,363.6,363.6
P.C. DAMA GRAPHITE MT RECT. 120X280 ,362.8800000000001,362.8800000000001
P.C. MAXITECH BIBURY WHITE SATINADO REC 120x280 ,362.8800000000001,362.8800000000001
X-MORTERO JUNTA VAINILLA 5KG,359.0000000000001,359.0000000000001
STATUARIO FULL LAP 1.  60x120,358.56,358.56
Caravaggio Gold Face A 160x320 6mm,358.4,358.4
Caravaggio Gold Face B 160x320 6mm,358.4,358.4
HIMALAYAS EVEREST 15X15,356.265,356.265
AURA BROW N PULIDO RECT 80x160,349.4400000000001,349.4400000000001
Nero Marquina Face B 160x320 6mm,348.16,348.16
Volterra White Matt 60x120,347.04,347.04
SPINA KUMI CHERRY REC. 60x120,344.16,344.16
SPINA KUMI ELM REC. 60x120 ,344.16,344.16
 31x46 DESSERT DOT,343.0700000000001,343.0700000000001
Nero Marquina Face A 160x320 6mm,343.04,343.04
"Alumacer/ 0LA12PBLISTELO ALUMINIO 12x12 mm PLATA BRILLO 2,6 ml",341.0,341.0
Leveling Spacer 3 mm (200PCS/BAG),340.0,340.0
CAPRAIA WHITE PULIDO 60x120,339.84,339.84
X-MORTERO JUNTA BLANCA 5KG,339.0,339.0
Creta Edge Savoy Land 33x50,336.0,336.0
P.C. MAXITECH PAONAZZO WHITE PULIDO 120X280,336.0,336.0
Mureto Rhin Gris Mix,335.0,335.0
RJ25 Drain gate Savoy Land 25x50,335.0,335.0
Balbi Ceniza 60x120 Matt,334.08,334.08
Woodville Marron 15x90,330.625,330.625
Pink Travertine 60x30,330.12,330.12
Cemento Grey Exp. 60x60,329.76,329.76
AREZZO  MARENGO 60x60,328.3200000000001,328.3200000000001
Mystico Full Lap 59.5X119.5,328.3200000000001,328.3200000000001
G. LENOX MIEL 20X120,327.6,327.6
Nielsen Gris 60x120,327.3200000000001,327.3200000000001
P.C. PUL. SALVIA GREEN RECT.120X280,325.92,325.92
Pastoral Anthracite Flat,323.95,323.95
KALKSTEN SMOKE 60x60,321.12,321.12
MILANO PERLA FULL LAP 1 60x120 ,319.68,319.68
HARMONY CASTELLON C1 20x120,319.2,319.2
Black Diamond Face B 160x320 6mm,317.44,317.44
Penta Arrecife Blue 5x5,316.54,316.54
"ALUMACER /LACA12IGP - LISTELO ACERO ARENA 12x12 mm INOX GR. PERLA 2,6 ml",316.0,316.0
Kronos Coffee Flat,314.1780000000001,314.1780000000001
CLIPS NIVEL ESTAND 2 MM,314.0,314.0
Black Diamond Face A 160x320 6mm,312.3200000000001,312.3200000000001
P.C. BALNEA NATURAL MT 120X280 RECT.,309.12,309.12
X- MORTERO JUNTA MARFIL 5KG,306.0,306.0
Platium Sugar 60x120,304.56,304.56
CHANTILLY CREME CHIP 30x60,303.48,303.48
Leveling Spacer 1.5 mm (200PCS/BAG),302.0,302.0
Rocky Mountain Anthracite Flat,302.0,302.0
IRIA NORDIKWOOD BONE REC. 60x120 ,300.96,300.96
"OCCHIATA DARK GREEN 4,6X19,8X9,9",300.0,300.0
"OCCHIATA NATURAL 9,7X19,8X9,9",300.0,300.0
Loft Nero Flat,299.0,299.0
TIMELESSWOOD OAK RECTIFICADO 20x120,298.8,298.8
X- MORTERO JUNTA NEGRA 5KG,298.0,298.0
60 X 60 X 2 SG ARK IVORY EXP. ,293.76,293.76
X-MORTERO JUNTA BEIGE 5KG,293.0,293.0
Pietra Antica Cenere 80x160,291.84,291.84
Acron White 120x120,290.88,290.88
WABI BIANCO LAPATTO RECT 60X120,290.88,290.88
TUNDRA LIGHT 60x60,290.36,290.36
DORSTONE NUT RECT 80X80,289.28,289.28
Kumi Natural 120x280,288.96,288.96
NAVONA VEIN NEBULO 120x280,288.96,288.96
SL PETRA TAUPE PRC RC  120×120 ,285.12,285.12
Alexandria White Matt 60X120,283.68,283.68
Marmo Antico Face B 160x320 6mm,281.6,281.6
STORM CLOUD RC 74.8x149.5,281.25,281.25
Burder Beige 60x60,280.28,280.28
"TOZZETTO NESSO MIX COTTO 3,4X3,4",280.0,280.0
G. CRONOS BLANCO POLISHED 60x60,277.92,277.92
NEVE RECT 60X120,276.48,276.48
MS00802 VERONA BLEND POLISHED STG MFT 30.5x30.5,276.0,276.0
Tessino Grey Pulido Rect.80X160,275.52,275.52
Atlas Pearl Flat,275.0,275.0
Taisha Camel 16.3X51.7,273.84,273.84
Cemair,272.0,272.0
DORSTONE NUT RECT 80X160,271.36,271.36
Marmo Antico Face A 160x320 6mm,271.36,271.36
Tessino Grey Pulido 120x120,270.72,270.72
STORM WHITE RC 75X150,270.0,270.0
Caserna Sand MT 60x60,269.28,269.28
HIELO LIGHT FULL LAP 60x120,267.84,267.84
Dove Glossy White Rec. 30X60,265.68,265.68
SL COPENHAGEN WENGUE 20x120,265.2,265.2
Keystone,265.0,265.0
"MS01440 CAPPUCCINO POL HEXAGON NOM SIZE 26,5x30,5",264.0,264.0
NAVONA VEIN AUREO 120x280,262.08,262.08
Pratico Smoke Flat,261.33,261.33
X- MORTERO JUNTA CHOCOLATE 5KG,259.0,259.0
Bellezza Full Lap 120x180,253.47,253.47
"ALUMACER / 0LA12NB - LISTELO ALUMINIO 12x12 mm NEGRO BRILLO 2,6 ml",252.0,252.0
G. LENOX HAYA 20X120,252.0,252.0
Borba Oxido 31.2x31.2,251.55,251.55
Diana Royal 60x60,251.28,251.28
CHANTILLY CREME CHIP 60x90,249.48,249.48
Drain Gate Savoy Desert 25x50,248.0,248.0
Amazon Grey French Pattern 1.2cm,247.83,247.83
Borneo Sand 120x120 SL,246.24,246.24
Germa C1,246.0,246.0
Moher Light -R 80x80,245.76,245.76
CHANTILLY CREME CHIP 60x60,243.36,243.36
TALO ARENA MT 60x120 ,243.36,243.36
"LISTELO ACERO 12x12MM. INOX BRILLO 2,6 ml",241.0,241.0
5X5 PENTA KARA GREY,239.12,239.12
FRAME OAK MATT 30X75,238.58,238.58
Bora Edge Cross Cut Petra 20x50,235.0,235.0
OXYD JEWEL POL RECT 60X120,231.84,231.84
Atlas Ash Flat ,230.0,230.0
Tessino Grey Natural 60x120,228.97,228.97
GALA  ORO 120x120,228.96,228.96
Rupe Sand Flat,228.0,228.0
DORSTONE BONE RECT 80X160,227.84,227.84
Arrecife Iridis Emerald 31x46,227.36,227.36
LOMBARDI BIANCO RC 75X150,226.0,226.0
Elite Beige 60x60,225.0,225.0
Diamond Dark Grey 30x60,223.2,223.2
Acadia Nogal Mate 25×150 Sl Rc N-Plus,221.48,221.48
AURA BROW N PULIDO RECT 80x80,221.44,221.44
Black Gold Face A 160x320 6mm ,220.16,220.16
"ALUMACER /0LA12CH - LISTELO ALUMINIO 12x12 mm CHAMPAGNE 2,6 ml.",217.0,217.0
Black Gold Face B 160x320 6mm,215.04,215.04
Merida Sand Mate 60×60 Sl Antislip,214.56,214.56
Tundra Light Stairs 1.40,214.0,214.0
TROPIC AGUAMARINA C1 15x15 - Glossy,212.3,212.3
PRISMA HIDRA COLD NPL(PR C)20X20 STD ,208.8,208.8
PRISMA HIDRA WHITE NPL(PR C)20X20 STD  (copy),208.8,208.8
P.C. PUL. DAFNE COLD RECT. 120x280,208.32,208.32
Ark Anthracite 60x60x2,207.36,207.36
Savoy Desert IN 60X120 NP,205.92,205.92
P.C. DAMA SAND MT 120X280 RECT,204.96,204.96
 Travertine Lite 80x40 ,204.48,204.48
G. SYMPHONY GREY HONED 60x120,204.48,204.48
Burlington Volcano Matt 60x120,203.04,203.04
Ferrara Sand flat,203.0,203.0
CR.WELLS PEARL 90x90,202.5,202.5
Window Sill straight,202.0,202.0
"ALUMACER - PERFIL ALUMINIO ""L"" 12 mm PLATA BRILLO 2,6 ml. ",200.0,200.0
"ALUMACER /0AL08NH - PERFIL ALUMINIO ""L"" 12 MM. NEGRO LACADO MATE 2,6 ML ",200.0,200.0
ALUMACER PELDANO ALUMINIO INTERIOR 20MM NEGRO 2.5ML,200.0,200.0
ALUMACER PELDANO ALUMINIO INTERIOR 20MM PLATA 2.5ML,200.0,200.0
Cross Spacer 4 mm (500PCS/BAG),200.0,200.0
SP5 50254,200.0,200.0
SP5 50250,199.0,199.0
Cross Spacer 5mm (500PCS/BAG),198.0,198.0
Downtown Ivory 40x120 RC,197.28,197.28
Statale Black Mate 60×120 Sl,197.28,197.28
Cross Spacer 3 mm (500PCS/BAG),195.0,195.0
Tundra Light Stairs 1.20,195.0,195.0
Samara 61x61,194.2362,194.2362
Acron Pearl 120x280,191.52,191.52
LIXIUM JADE PL (PRC) 120X280 RC,191.52,191.52
Reload Grey Mate 120×260,190.32,190.32
Tessino Black Natural 60x120,190.08,190.08
LAVE BLANCHE FULL LAP 1. 60x120,189.99,189.99
Penta Eloa 5x5,189.12,189.12
Prague Beige 60X120,188.0,188.0
Livorno Blanco 20x20,187.0,187.0
SL PETRA GREY PRC RC 60x120,185.76,185.76
PROGRESS PEARL PB RECT. MATE 30x90,184.95,184.95
Pietra Antica Crema 80x80,184.32,184.32
Dolomiti White Stair 140,184.0,184.0
Dolomiti White Stairs 130,184.0,184.0
Lenox SuperWhite MT 100x100 (Thickness 9.5mm),184.0,184.0
GOLDEN BLUE PL(PRC) 60X120 RC,182.88,182.88
Neutra White Mate 60×120 Sl Rc,182.88,182.88
5X5  PENTA  NUSA  MATTE,180.32,180.32
"ALUMACER /02L12TB - LISTELO ACERO 12x12 mm INOX TITANIO BRILLO 2,6 ml.",180.0,180.0
SL PETRA TAUPE  PRC RC  60x120,180.0,180.0
MANDORLA RECT 60X120,179.28,179.28
"LISTELO ACERO 12x12MM. INOX MATE 2,6 ml",176.0,176.0
G. LENOX NUT 20X120,174.72,174.72
MAJESTIC MANDORLA RECT 60X120,172.8,172.8
60 X 60 X 2 SG ARK SILVER EXP. ,169.64,169.64
Provence Aquamari 31.6X60,167.2,167.2
Thasos Cross 23x75,165.65,165.65
Alchimia Decor Ivory Brillo 15×15,162.5,162.5
Amazon Canela IN 20x120 ,161.28,161.28
OXYD JEWEL POL RECT 120X280,161.28,161.28
Opalo Blanco 31x46,160.37,160.37
SAJONIA ARCE 19.5X120,160.29,160.29
Leveling Wedge Black (100PCS/BAG),160.0,160.0
LIMRA BEIGE 1. 60x120,159.84,159.84
IRIS AZUL 15x31.9,157.5,157.5
Reggio Gris 60x120,155.52,155.52
Dolomiti White Stairs 150,155.0,155.0
TL07119 ROYAL CREAM POLISHED,155.0,155.0
XS LINIER OAK MATE(AZJ)60X120RCST,154.08,154.08
X-MORTERO JUNTA CASTAÑO 5KG,154.0,154.0
EVER CREAM PB RECT. MATE 30x90,152.55,152.55
ARABESCATO CORCHIA HONED RECT 120X278,151.2,151.2
MAJESTIC BLACK PULIDO  120x280,151.2,151.2
BURLINGTON VOLCANO RECT. 60X60,149.76,149.76
Tessino Bronze Natural 60x120,149.76,149.76
VOLTERRA WHITE POL RECT 120X278,149.736,149.736
Alchimia Decor White Brillo 15×15,148.5,148.5
Cellini Blanco Brillo 75x150,148.03,148.03
Ferrara Nostalgia Flat,148.0,148.0
"Alumacer/01CRA05 - SEPARADORES NIVELACIÓN ESTÁNDAR 0,5 mm (كيس 100)",147.0,147.0
PORTLAND GREY SOFT RC 100x100,147.0,147.0
Amazona Coffee 60x120,146.88,146.88
"SAJONIA ARCE 14,5X120",146.4,146.4
Dassel Oak Mate 40×120,145.44,145.44
Luna Cool Grey 60X60X2,145.44,145.44
"SAJONIA FRESNO  14,5X120",145.18,145.18
XS TRAMES ALMOND RC  60x120,144.72,144.72
RELIEVE TEXTILE PROGRESS WHITE PB RECT. M 30x90,144.45,144.45
Durst Oak Mate 60×120,144.4,144.4
GOLD HARD POL RECT 60x120,139.68,139.68
MANILA HIDRA WARM NPL(PR C)20X20 STD,139.2,139.2
URSINO MARQUINA NPL (PRC) 20X20 ST,139.2,139.2
ARROW SHOW BEIGE 7.5x25,139.03,139.03
MANILA HIDRA COLD NPL(PR C)20X20 STD,138.6,138.6
POP HIDRA COLD NPL(PR C)20X20 STD ,138.6,138.6
PRISMA HIDRA WARM NPL(PR C)20X20 STD ,138.6,138.6
AROME VANILLE,138.0,138.0
Greggio Antracite Semi Lap 60X60,136.8,136.8
Barok Antique Flat,135.0,135.0
BELLINI ROJO 7.5x31,134.96,134.96
Lumiere White Pulido 120x280,134.41,134.41
G. LENOX GRIS 20X120,134.4,134.4
DUNE EVER CREAM RECT. PB MATE 30x90,132.84,132.84
LARIO BIANCO RECT 60X120,132.48,132.48
31X46 SERICA DOT,131.98,131.98
BELLINI AZUL 7.5x32,129.92,129.92
Lula White Brillo 5×50,129.6,129.6
CAPRI HIDRA COLD NPL(PR C)20X20 STD  (copy),129.0,129.0
Creta Edge Woods Nordic 33x50,129.0,129.0
CEPPO PARTY RECT 60X120,128.16,128.16
"SAJONIA FRESNO 19,5x120",126.36,126.36
Lula Pearl Brillo 5×50,125.4,125.4
BELLAGIO BIANCO RECT 60X120,125.28,125.28
Panthera Sugar Lappato 60X120,125.28,125.28
Alumacer/0001CNK - CUÑAS NIVELACIÓN (كيس 100),125.0,125.0
ALCHIMIA WHITE BRILLO 15X15,124.5,124.5
Arcadia Dark Rundle Flat,124.0,124.0
Soft Beige Marble Stairs 1.2 (Pes),124.0,124.0
SL BRENNERO DARK PRC RC  60x120,123.84,123.84
Terra Flat,122.0,122.0
Opalo Negro 31x46,121.8,121.8
Crown Kliff Sand 30x90,120.96,120.96
